id,name,description,votes,sortorder
396,Vernon Benjamin Mountcastle, professor emeritus (Johns Hopkins School of Medicine) and neuroscientist,0,9999
397,Fritz Pott, football player and coach,0,9999
398,Bruno Visintin," boxer, Olympic bronze medalist (1952)",0,9999
399,Ryszard Zub," fencer, Olympic silver (1956, 1960) and bronze (1964) medalist",0,9999
400,John Bayley, literary critic and writer,0,9999
401,Bonnie Christensen, children's book author and illustrator,0,9999
402,Germán Cobos, actor,0,9999
403,Trevor Colbourn," educator and academic, President of the University of Central Florida (1978–1989)",0,9999
404,James Naanman Daman," Roman Catholic prelate, Bishop of Jalingo (2000–2007) and Shendam (since 2007)",0,9999
405,Stephen Gold, computer journalist,0,9999
406,Robert Gover, author,0,9999
407,John Hill, game designer,0,9999
408,Carl Long, baseball player,0,9999
409,William C. Martel, political scientist,0,9999
410,A. J. Masters, singer and songwriter,0,9999
411,Paul Morgan, rugby union and league player,0,9999
412,Elena Obraztsova, mezzo-soprano,0,9999
413,Alex Omes," nightlife impresario, co-founder of Ultra Music Festival",0,9999
414,Gabriel Ramushwana, general Head of State of Venda (1990–1994),0,9999
415,Ed Skinner," politician and attorney, member of the Iowa House of Representatives (1969–1973)",0,9999
416,Darrell Winfield," rancher and model, Marlboro Man (1968–1989)",0,9999
417,Robert Boon," actor (Queen of Blood, Verboten!, The Twilight Zone)",0,9999
418,Tony Ciprian, television sports presenter and producer,0,9999
419,Doug Cunningham," football player (Ole Miss Rebels, San Francisco 49ers)",0,9999
420,Ralph Faudree, mathematician,0,9999
421,Frank Glazer, pianist and composer,0,9999
422,Sir Jack Hayward," businessman, property developer and philanthropist, president of Wolverhampton Wanderers",0,9999
423,Mark Juddery, author and journalist,0,9999
424,H. Wesley Kenney, television director and producer (General Hospital All in the Family The Young and the Restless),0,9999
425,Mike Marqusee, writer and activist,0,9999
426,Frank Mazzola," film actor and editor (Rebel Without a Cause, Casablanca, The Hunchback of Notre Dame)",0,9999
427,Hara Patnaik, actor and film director,0,9999
428,Ronnie Ronalde, music hall singer and siffleur,0,9999
429,Isabel Rosado, independence activist (Puerto Rican Nationalist Party),0,9999
430,John H. Rubel, defense electronics executive,0,9999
431,Bill Thompson, talent manager,0,9999
432,Jane Wilson, painter,0,9999
433,Keith Wright," politician and convicted child rapist, MP for Capricornia (1984–1993)",0,9999
434,Hillel Zaks, rabbi,0,9999
435,Mordechai Shmuel Ashkenazi, rabbi,0,9999
436,Bob Boyd, basketball coach (USC Trojans),0,9999
437,Jerry Dempsey," politician, member of the Minnesota House of Representatives (1992–2006)",0,9999
438,Bill Dodd, footballer (Burnley F.C.),0,9999
439,Lotte Hass, model and underwater diver,0,9999
440,Val Holten, cricketer,0,9999
441,Danny Malloy," footballer (Cardiff City, Dundee)",0,9999
442,Jerzy Holzer, historian,0,9999
443,Susanto Pudjomartono," newspaper editor and diplomat, second chief editor of The Jakarta Post (1991–2003), Ambassador to Russia (2003–2008)",0,9999
444,Nélida Romero, actress,0,9999
445,Darren Shahlavi," actor (Night at the Museum, Watchmen, Ip Man 2) and martial artist",0,9999
446,Layne Tom Jr., actor (Charlie Chan series),0,9999
447,Warren Weinstein, economist USAID contractor kidnapped by al-Qaeda,0,9999
448,Robert White," diplomat, United States Ambassador to Paraguay (1977–1980) and El Salvador (1980–1981)",0,9999
449,Zhang Wannian, general,0,9999
450,Bai Jinian," politician, party chief of Shaanxi Province",0,9999
451,Jean-Claude Baker, restaurateur,0,9999
452,Ludmila Brožová-Polednová," prosecutor, participated in the show trial of Milada Horáková",0,9999
453,Arnaldo Calveyra, poet and novelist,0,9999
454,Eugene E. Covert, aeronautics engineer,0,9999
455,Ervin Drake," songwriter (""It Was a Very Good Year"" ""I Believe"" ""Good Morning Heartache"")",0,9999
456,Kim Fowley, record producer band manager (The Runaways) impresario and musician,0,9999
457,Alan Hirschfield," film executive, CEO of Columbia Pictures (1973–1978), Chairman of 20th Century Fox (1982–1986)",0,9999
458,Anwarul Iqbal, politician and police chief,0,9999
459,"Archibald Kennedy, 8th Marquess of Ailsa"," peer, hereditary chief of Clan Kennedy",0,9999
460,Ethel Lang," supercentenarian, nation's oldest person (since 2013), last living Briton born during reign of Queen Victoria",0,9999
461,Karel Lichtnégl, football player,0,9999
462,Jean Lindenmann," virologist and immunologist, co-discoverer of interferon",0,9999
463,Rimma Markova, actress,0,9999
464,Ray Nagel," football player (UCLA Bruins) and coach (Utah Utes, Iowa Hawkeyes)",0,9999
465,Chikao Ohtsuka, voice actor (Lupin III Yu-Gi-Oh! One Piece),0,9999
466,Raoul Pantin," journalist, playwright, and screenwriter (Bim), survivor of the Jamaat al Muslimeen coup attempt",0,9999
467,Robert S. Pirie, lawyer,0,9999
468,Ignacio Posada, Olympic fencer,0,9999
469,Harvey Sweetman, World War II pilot,0,9999
470,Rameshwar Thakur," politician, Governor of Odisha (2004–2006), Andhra Pradesh (2006–2007) and Karnataka (2007–2009)",0,9999
471,Walter Westbrook, artist,0,9999
472,Bob Wilson, sportscaster (Boston Bruins),0,9999
473,Joseph Mukasa Zuza, Roman Catholic prelate Bishop of Mzuzu (since 1995),0,9999
474,Miriam Akavia, writer,0,9999
475,Sir Ian Athfield, architect,0,9999
476,Mohamed Olow Barrow, politician,0,9999
477,Andrew Benson, biologist,0,9999
478,Vivaldo Frota," politician, Governor of Amazonas (1990–1991)",0,9999
479,Ted Harrison, painter,0,9999
480,Pedro María Iguaran, footballer (Real Sociedad),0,9999
481,Patrick Journoud, Olympic athlete (1988),0,9999
482,Stuart Loory, journalist and media executive (CNN),0,9999
483,Ray Lumpp," basketball player (New York Knicks), Olympic champion (1948)",0,9999
484,Luis Marsans, painter,0,9999
485,Louis Martin," weightlifter, Olympic silver (1964) and bronze (1960) medallist",0,9999
486,Ghelubhai Nayak, political activist,0,9999
487,Walter Peregoy," animator (The Jungle Book, Sleeping Beauty, Mary Poppins, The Sword in the Stone)",0,9999
488,Tony Ridler, darts player,0,9999
489,Faith Seidenberg, attorney and civil rights activist,0,9999
490,Yao Beina, singer,0,9999
491,Bruno Ballarini, footballer (Calcio Como),0,9999
492,Joseph Brannigan," politician, member of the Maine Senate (2006–2012)",0,9999
493,Ken Furphy, footballer and manager (Watford),0,9999
494,Gobinda Halder, lyricist and composer,0,9999
495,Faten Hamama," actress (The Angel of Mercy, Wajh al-Qamar)",0,9999
496,Don Harron, comedian actor and author (Hee Haw The Big Revue),0,9999
497,Kazumasa Hirai," manga author (8 Man, Genma Taisen, Wolf Guy)",0,9999
498,Fritz C. Holte, economist,0,9999
499,Justin Kili, journalist and media personality,0,9999
500,Rebecca D. Lockhart, politician Speaker of the Utah House of Representatives (since 2011),0,9999
501,Henry Manne, law and economics academic,0,9999
502,Roderick McDonald, basketball player (Utah Stars),0,9999
503,Terence Miller, palaeontologist,0,9999
504,Origa, singer (Ghost in the Shell: Stand Alone Complex),0,9999
505,Mary Evelyn Parker, politician Louisiana State Treasurer (1968–1987),0,9999
506,David E. Paulson," politician, member of the Wisconsin State Assembly for the 28th District (1978–1986)",0,9999
507,Greg Plitt, fitness trainer (Work Out) and actor (Grudge Match Terminator Salvation Bobby),0,9999
508,Bill Sykes, author and chaplain,0,9999
509,Mohammad Ali Allahdadi, army general,0,9999
510,Dorothy Barnes Pelote," politician, member of the Georgia House of Representatives (1993–2003)",0,9999
511,José Carrasco, politician,0,9999
512,Vinay V. Deodhar, mathematician,0,9999
513,Maurice Dumas," politician, MP for Argenteuil—Papineau—Mirabel (1993–2000)",0,9999
514,Cynthia Layne, jazz singer,0,9999
515,Grazia Livi," author and journalist, Viareggio Prize winner",0,9999
516,D. C. McNeil, politician,0,9999
517,Alberto Nisman, prosecutor (AMIA bombing),0,9999
518,Paul O'Grady, politician member of the New South Wales Legislative Council (1988–1996),0,9999
519,Muna Obiekwe, actor,0,9999
520,Pietro Pianta, footballer,0,9999
521,June Randall," script supervisor (The Spy Who Loved Me, A Clockwork Orange, The Shining)",0,9999
522,Piet van der Sanden," politician, member of the House of Representatives (1971–1972, 1973–1989), member of the European Parliament (1973–1974)",0,9999
523,Milt Schoon, basketball player (Sheboygan Red Skins),0,9999
524,Harish Chandra Srivastava, politician,0,9999
525,Yasuaki Taiho, baseball player (Chunichi Dragons Hanshin Tigers),0,9999
526,Dallas Taylor," drummer (Crosby, Stills, Nash & Young)",0,9999
527,Christine Valmy, cosmetologist,0,9999
528,Tony Verna, television producer invented instant replay,0,9999
529,Kjell Arnljot Wig, media personality,0,9999
530,John Bilezikjian, oud musician,0,9999
531,Rose Marie Brown," beauty pageant contestant, Miss Virginia (1939)",0,9999
532,Justin Capră, inventor,0,9999
533,Gordon Dickson, marathon runner,0,9999
534,Adam Yahiye Gadahn, al-Qaeda operative,0,9999
535,Vera Gornostayeva, pianist and piano teacher,0,9999
536,Michel Guimond, politician MP for Montmorency—Charlevoix—Haute-Côte-Nord (1993–2011),0,9999
537,José María Hernández González," Roman Catholic prelate, Bishop of Chilapa (1983–1989) and Netzahualcóyotl (1989–2003)",0,9999
538,Oscar Hayes, gospel musician,0,9999
539,Arthit Kamlang-ek," general, Supreme Commander of the Royal Thai Armed Forces (1983–1986)",0,9999
540,Vladimir Kesarev, footballer (Dynamo Moscow),0,9999
541,Anne Kirkbride, actress (Coronation Street),0,9999
542,Rajni Kothari, political scientist,0,9999
543,Robert Manzon," Formula One driver, last surviving racer from first World Championship",0,9999
544,Mark Marquess, ice hockey player (Boston Bruins),0,9999
545,Reinaldo Oliver," javelin thrower and Olympic athlete (1952, 1956)",0,9999
546,Karl H. Pribram, neuroscientist and educator,0,9999
547,Bob Sadino, businessman,0,9999
548,Ward Swingle," musician (The Swingle Singers, Les Double Six)",0,9999
549,Bob Symes, inventor and television presenter,0,9999
550,Reies Tijerina, Chicano activist,0,9999
551,"Gene S. Walker, Sr.", rancher and businessman,0,9999
552,"Peter Wallenberg, Sr."," financier and industrialist, patriarch of the Wallenberg family",0,9999
553,Canserbero, rapper,0,9999
554,James L. Fowler," military veteran, founded the Marine Corps Marathon",0,9999
555,Edgar Froese, musician (Tangerine Dream),0,9999
556,Melvin Gordon," business executive, CEO of Tootsie Roll Industries (since 1962)",0,9999
557,Lawrence Hogben, meteorologist and naval officer,0,9999
558,Anatol Hrytskievich, historian,0,9999
559,Graeme Hugo, demographer and geographer,0,9999
560,Herman E. Lauhoff," politician, member of the Texas House of Representatives (1974–1981)",0,9999
561,Rose Marie McCoy," songwriter (""It Hurts Me to My Heart"", ""Don't Be Angry"", ""Tryin' to Get to You"", ""It's Gonna Work Out Fine"")",0,9999
562,Gloria D. Miklowitz, author,0,9999
563,Wilfride Piollet, ballerina and choreographer,0,9999
564,Peter Pontiac, cartoonist winner of the Stripschapprijs (1997),0,9999
565,Bette Rogge, radio and television presenter,0,9999
566,William Roffler, football player (Philadelphia Eagles),0,9999
567,Hitoshi Saito, judoka Olympic champion (1984 1988),0,9999
568,Ricardo dos Santos, surfer,0,9999
569,Jerome Van Sistine," politician, member of the Wisconsin State Senate (1977–1993)",0,9999
570,James Walker, television writer (Neighbours),0,9999
571,George Atkins, football player (Detroit Lions),0,9999
572,Patricia Berjak, botanist,0,9999
573,Marcus Borg, Biblical scholar and theologian (Jesus Seminar),0,9999
574,Leon Brittan, politician Home Secretary (1983–1985) Vice-President of the European Commission (1999),0,9999
575,Vince Camuto, footwear designer (Nine West),0,9999
576,Emmanuel Carter," politician, President of the Senate (1990–1995), acting President (1990) during the Jamaat al Muslimeen coup attempt",0,9999
577,Frieda Dänzer," Alpine skier, Olympic silver medalist (1956)",0,9999
578,George W. Downs, political scientist,0,9999
579,George Goodwin," journalist, Pulitzer Prize winner (1948)",0,9999
580,Harry Gordon," Olympic historian, journalist and newspaper editor",0,9999
581,Martin Honeysett, cartoonist,0,9999
582,Frank Hooley," politician, MP for Sheffield Heeley (1966–1970, 1974–1983)",0,9999
583,Waldemar Kmentt, operatic tenor,0,9999
584,Roy Noble Lee," judge, Chief Justice of the Supreme Court of Mississippi (1987–1993)",0,9999
585,Johnnie Lewis," lawyer and politician, Chief Justice (2006–2012)",0,9999
586,Kemal Monteno, singer-songwriter,0,9999
587,Keith Rayner, cognitive psychologist,0,9999
588,Marshall Schlom, script supervisor (Psycho Perry Mason Rain Man),0,9999
589,Chin Shunshin, author,0,9999
590,Pauline Yates, actress (The Fall and Rise of Reginald Perrin),0,9999
591,Don Bryant, baseball player (Houston Astros),0,9999
592,Peggy Charren, children's television activist,0,9999
593,Wendell H. Ford, politician Governor of Kentucky (1971–1974) member of the U.S. Senate (1974–1999),0,9999
594,Margaret Bloy Graham, children's book illustrator,0,9999
595,Joan Hinde, trumpeter and entertainer,0,9999
596,René Jodoin, animation director and producer,0,9999
597,Tommy Mason," football player (Minnesota Vikings, Los Angeles Rams)",0,9999
598,Fabrizio de Miranda, structural engineer and university professor,0,9999
599,Franco Nicolazzi," politician, MP (1963–1990), Secretary of the Italian Democratic Socialist Party (1985–1988)",0,9999
600,Kel O'Shea, rugby league player (Western Suburbs),0,9999
601,Wayne Quinton, biomedical engineer,0,9999
602,Dacia Valent," politician, MEP (1989–1994), myocardial infarction",0,9999
603,Lawrence Paul Zatkoff, federal judge,0,9999
604,Ernie Banks, Hall of Fame baseball player (Chicago Cubs),0,9999
605,Jalynn Bennett, consultant and corporate director,0,9999
606,Betty Jane Diener, politician Virginia Secretary of Commerce (1982–1986),0,9999
607,Marc Dufour," ice hockey player (New York Rangers, Los Angeles Kings)",0,9999
608,Prosper Ego," activist, founder of the Oud-Strijders Legioen",0,9999
609,Nol Heijerman, footballer (Sparta),0,9999
610,Simma Holt," journalist and politician, MP for Vancouver Kingsway (1974–1979)",0,9999
611,Barrie Ingham," actor (The Great Mouse Detective, Doctor Who, A Challenge for Robin Hood)",0,9999
612,Nick Koback, baseball player (Pittsburgh Pirates),0,9999
613,Svein Døvle Larssen, newspaper editor,0,9999
614,Alexander Lastin, chess grandmaster,0,9999
615,Pedro Lemebel, writer,0,9999
616,Les McMahon," politician, member of the Australian House of Representatives for Sydney (1975–1983)",0,9999
617,Bud Miller," politician, member of the Legislative Assembly of Alberta (1971–1986)",0,9999
618,M. S. Narayana, Telugu actor,0,9999
619,Jackie Selebi, police officer Commissioner (2000–2009),0,9999
620,Frank Sims, baseball broadcaster,0,9999
621,Stig Bergling, secret service officer convicted of treason,0,9999
622,Robert Bonnaventure, cyclist,0,9999
623,Peter Bridges," Anglican priest, Archdeacon of Southend (1972–1977), Coventry (1977–1983) and Warwick (1983–1990)",0,9999
624,Link Byfield, conservative columnist politician and publisher,0,9999
625,Julio Canessa," politician and general, member of the Government Junta (1983–1985), Senator (1998–2006)",0,9999
626,Otto Carius, World War II tank commander,0,9999
627,Maria Cerra, Olympic fencer (1948),0,9999
628,Aisha Chaudhary, motivational speaker and author,0,9999
