id,name,description,selected_by,sortorder
3841,Kang Nung-su, politician,0,9999
3842,Alfredo Lardelli, murderer and businessman,0,9999
3843,Czesław Marchaj, yachtsman and professor,0,9999
3844,Anthony Megale, mobster,0,9999
3845,Mariam Mfaki, politician MP for Dodoma (since 2000),0,9999
3846,Dick Nanninga, footballer (Roda JC Kerkrade national team),0,9999
3847,Serhiy Omelyanovych, footballer (Charleroi),0,9999
3848,Don Randall, politician MP for Swan (1996–1998) and Canning (since 2001),0,9999
3849,Olav Riste, historian,0,9999
3850,James F. Rothenberg, financial executive chairman of the Capital Group,0,9999
3851,Mike Turner, cricketer (Leicestershire),0,9999
3852,Barbara Calvert, barrister,0,9999
3853,Herschal Crow, politician member of the Oklahoma Senate (1969–1982) and Secretary of Transportation (2001–2003),0,9999
3854,Denny Ebbers, Olympic judoka (1996),0,9999
3855,Christopher M. Fairman, legal scholar (Fuck: Word Taboo and Protecting Our First Amendment Liberties),0,9999
3856,Eddie Hardin, rock musician (Spencer Davis Group) and singer-songwriter,0,9999
3857,Marilyn C. Jones, baseball player (AAGBPL),0,9999
3858,Don Joyce, musician (Negativland) and radio personality (Over the Edge),0,9999
3859,Frank Narvo, rugby league player (Newtown Jets),0,9999
3860,Daron Norwood, country music singer,0,9999
3861,Roble Olhaye," diplomat, Ambassador to the United States (since 1988), Dean of the Diplomatic Corps of Washington, D.C",0,9999
3862,Natasha Parry, actress (Romeo and Juliet Oh! What a Lovely War Meetings with Remarkable Men),0,9999
3863,Simon-Pierre Saint-Hillien," Roman Catholic prelate, Bishop of Hinche (since 2009)",0,9999
3864,Josef Scheungraber, World War II army officer and convicted war criminal,0,9999
3865,Hoza'a Sherif, diplomat Ambassador to Iraq (since 2006),0,9999
3866,Martin Storey, Channel Islander politician member of the States (since 2008),0,9999
3867,Gordon Stuart, portrait artist,0,9999
3868,Horst Walter, footballer (Dynamo Dresden),0,9999
3869,William Wakefield Baum," Roman Catholic prelate, Archbishop of Washington (1973–1980), Cardinal (1976–2015)",0,9999
3870,Mladen Dražetin, academic and poet,0,9999
3871,Francis Guess," civil rights advocate and public servant, member of the U. S. Civil Rights Commission (1983–1989)",0,9999
3872,Shigeko Kubota, artist,0,9999
3873,Mexicano 777, rapper,0,9999
3874,Don Oberdorfer, journalist and author,0,9999
3875,Rasoul Raeisi, Olympic weightlifter (1948),0,9999
3876,José Sazatornil, actor,0,9999
3877,Aung Thaung," politician and businessman, member of the Pyithu Hluttaw for Taungtha Township (since 2011)",0,9999
3878,Cirilo Vila, composer,0,9999
3879,James L. White, screenwriter (Ray),0,9999
3880,Irv Bauer, playwright and screenwriter,0,9999
3881,Corsino Fortes," writer, poet and diplomat, Ambassador to Portugal (1975–1981)",0,9999
3882,Peg Lynch, comedy writer and actress (Ethel and Albert),0,9999
3883,Jim Mitchell, state district court judge and horse breeder,0,9999
3884,Florenz Regalado, Supreme Court judge,0,9999
3885,Jürgen Rohwer, naval historian,0,9999
3886,Mario Sereni, operatic baritone,0,9999
3887,Ingrid Sischy, magazine editor and critic,0,9999
3888,Dale Sturtz," politician, member of the Indiana House of Representatives (1992–2002)",0,9999
3889,Jacques Andreani, diplomat,0,9999
3890,Kalpataru Das, politician member of the Rajya Sabha (since 2014) Odisha MLA for Dharmasala (1995–2014),0,9999
3891,R. S. Gavai," politician, Governor of Bihar (2006–2008), Kerala (2008–2011), member of the Rajya Sabha (2000–2006), MP for Amravati (1998)",0,9999
3892,Silan Kadirgamar, academic,0,9999
3893,Bob Kauffman," basketball player (Seattle SuperSonics, Buffalo Braves) and coach (Detroit Pistons)",0,9999
3894,Larbi Messari," politician and diplomat, Minister of Communications (1998–2000), Ambassador to Brazil (1985–1991)",0,9999
3895,Robin Phillips," actor and director (Long Day's Journey into Night, Jekyll & Hyde, The Marriage of Figaro), artistic director of Stratford Festival (1975–1980)",0,9999
3896,Scott Sims, veterinarian and television personality (Aloha Vet),0,9999
3897,Joseph Skerrett, literary critic,0,9999
3898,Nilo Zandanel, Olympic ski jumper,0,9999
3899,Abu Zant," Muslim scholar and politician, member of the House of Representatives (1989–1997)",0,9999
3900,Richard Bass, ski executive and mountaineer co-founder of Snowbird Ski Resort first person to climb the Seven Summits,0,9999
3901,Bobbi Kristina Brown, media personality and singer,0,9999
3902,Peter Ehrlich, actor,0,9999
3903,Peggy Evans, actress (The Blue Lamp),0,9999
3904,Vic Firth, musician and percussion mallet manufacturer,0,9999
3905,Wolfgang Gönnenwein," conductor and music director, director of Staatstheater Stuttgart (1985–1992)",0,9999
3906,Bijoy Krishna Handique," politician, MP for Jorhat (1991–2014), Rajya Sabha (1980–1986), Assam MLA for Jorhat (1971–1980)",0,9999
3907,Lee Harwood, poet,0,9999
3908,Junichi Komori, billiards player,0,9999
3909,Mike Kostiuk, football player (Cleveland Rams Detroit Lions),0,9999
3910,Jeffrey S. Lyons, lawyer lobbyist and business executive,0,9999
3911,Flora MacDonald," politician, Secretary of State for External Affairs (1979–1980), MP for Kingston and the Islands (1972–1988)",0,9999
3912,Robert Mosher, architect (San Diego–Coronado Bridge),0,9999
3913,Lerryn Mutton," politician, member of the New South Wales Legislative Assembly for Yaralla (1968–1978)",0,9999
3914,Vasili Pichul, film director (Little Vera),0,9999
3915,"Leo Reise, Jr.", ice hockey player (Detroit Red Wings),0,9999
3916,Pía Sebastiani, pianist and composer,0,9999
3917,Richard Smith, diplomat,0,9999
3918,Sebastiano Vassalli, novelist,0,9999
3919,Joe Williams, film critic (St. Louis Post-Dispatch),0,9999
3920,Tom Boyd," politician, member of the Idaho House of Representatives (1977–1992)",0,9999
3921,Edward Campbell, rugby league player,0,9999
3922,J. W. S. Cassels, mathematician,0,9999
3923,Rickey Grundy, gospel musician,0,9999
3924,Paul Langford," historian, Rector of Lincoln College, Oxford (2000–2012)",0,9999
3925,Chris Lazari, property developer,0,9999
3926,Ivan Moravec, concert pianist,0,9999
3927,Clyde M. Narramore, author and psychologist,0,9999
3928,Rafael Navarro Núñez, painter,0,9999
3929,Samuel Pisar, lawyer writer and Holocaust survivor,0,9999
3930,Alina Rodríguez, actress,0,9999
3931,Anthony Shaw," army general, Director General Army Medical Services (1988–1990)",0,9999
3932,Tony Vogel, actor,0,9999
3933,James H. Allen, clown and children's television personality,0,9999
3934,Diego Barisone, footballer,0,9999
3935,"Claude M. Bolton, Jr.", army general,0,9999
3936,David Faber, Holocaust survivor and author (Because of Romek),0,9999
3937,Rip Hawkins, football player (Minnesota Vikings),0,9999
3938,John M. Hull, theologian,0,9999
3939,Barry Hunter," Anglican prelate, Bishop of Riverina (1971–1992)",0,9999
3940,James Jude, thoracic surgeon developer of CPR,0,9999
3941,Carolyn Kaelin, cancer surgeon,0,9999
3942,Jan Kulczyk, businessman (Kulczyk Investments) wealthiest person in Poland,0,9999
3943,David Leaning, Anglican priest,0,9999
3944,Edward Natapei," politician, President (1999), Prime Minister (2001–2004, 2008–2009, 2009–2010, 2011), MP (1983–2008)",0,9999
3945,Olubuse II, traditional ruler of Ife,0,9999
3946,Fred Otnes, artist,0,9999
3947,Josef Pecanka," field hockey player, football player and coach",0,9999
3948,Franciscus Xaverius Rocharjanta Prajasuta, Roman Catholic prelate Bishop of Banjarmasin (1983–2008),0,9999
3949,Clive Rice, cricketer,0,9999
3950,Shawn Robinson," stunt performer (Guardians of the Galaxy, Transformers, Hook)",0,9999
3951,Suniti Solomon, doctor and AIDS researcher,0,9999
3952,Jack Boynton Strong, politician member of the Texas Senate (1963–1971),0,9999
3953,Giorgio Albani, cyclist,0,9999
3954,"Harry B. Brock, Jr.", banker,0,9999
3955,Antony Holland," actor, playwright, and theatre director",0,9999
3956,Malik Ishaq, Lashkar-e-Jhangvi leader,0,9999
3957,Vasundhara Komkali, classical musician,0,9999
3958,Sir Peter O'Sullevan, horse racing commentator,0,9999
3959,Mike Pyle, football player (Chicago Bears) 1963 NFL Champion,0,9999
3960,Jemera Rone, human rights activist,0,9999
3961,Peter Sim," politician, Senator for Western Australia (1964–1981)",0,9999
3962,Sir John Todd, businessman (Todd Corporation) and philanthropist,0,9999
3963,Alfredo Vernacotola, poet,0,9999
3964,Franklin H. Westervelt, computer scientist,0,9999
3965,Oleg Alekseev, wrestler,0,9999
3966,Lynn Anderson," country singer (""Rose Garden"")",0,9999
3967,"John Bitove, Sr.", businessman,0,9999
3968,Louise Crossley, environmentalist and scientist,0,9999
3969,Clifford Earl," actor (Doctor Who, The Sea Wolves)",0,9999
3970,Harry Gast," politician, member of the Michigan Senate (1979–2002)",0,9999
3971,Kenneth Irby, poet,0,9999
3972,Endel Lippmaa, scientist and politician,0,9999
3973,Yakub Memon, terrorist and chartered accountant convicted of financing the 1993 Bombay bombings,0,9999
3974,Francis Paul Prucha, historian,0,9999
3975,Louis Sokoloff, neuroscientist,0,9999
3976,Alena Vrzáňová," figure skater, World Champion (1949, 1950) and European Champion (1950)",0,9999
3977,John Weinert, college basketball coach (Bowling Green Falcons),0,9999
3978,Ernst K. Zinner, astrophysicist,0,9999
3979,Charles P. Bowers, baseball scout (Boston Red Sox Los Angeles Dodgers Philadelphia Phillies),0,9999
3980,Curtis Brown, football player (Buffalo Bills),0,9999
3981,Alan Cheuse, writer and critic,0,9999
3982,Coralie de Burgh, painter,0,9999
3983,Robert Hemenway," educator, Chancellor of the University of Kansas (1995–2009)",0,9999
3984,Howard W. Jones, physician IVF pioneer,0,9999
3985,Takeshi Katō," actor, voice actor and director",0,9999
3986,Gerald S. O'Loughlin," actor (The Rookies, In Cold Blood, Ice Station Zebra)",0,9999
3987,Sasi Perumal, Gandhian and anti-alcohol activist,0,9999
3988,Red Dragon, reggae singer,0,9999
3989,Richard Schweiker, politician Secretary of HHS (1981–1983) Senator from Pennsylvania (1969–1981) U.S. Representative from Penn 13th district (1961–1969),0,9999
3990,László Sinkó, actor,0,9999
3991,Derek Turner, rugby league player (Wakefield Trinity),0,9999
3992,W. Eugene Wilson, politician,0,9999
3993,Zhang Jingfu," politician, Finance Minister (1975–1979), State Councilor (1978–1988)",0,9999
3994,Stephan Beckenbauer, footballer (Bayern Munich),0,9999
3995,Bernard d'Espagnat, theoretical physicist and philosopher of science,0,9999
3996,Bob Frankford, politician,0,9999
3997,Mates Friesel," politician, mayor and founder of New Square, New York (since 1961)",0,9999
3998,Hank Izquierdo, baseball player (Minnesota Twins),0,9999
3999,Hong Yuanshuo, football player and coach (Beijing Guoan),0,9999
4000,Vincent Marotta," entrepreneur, co-creator of Mr. Coffee",0,9999
4001,Sheperd Paine, military historian and modeler,0,9999
4002,Chiara Pierobon, professional cyclist,0,9999
4003,Forrest Bird, Hall of Fame aviator and inventor,0,9999
4004,Giovanni Conso," jurist, Minister of Justice (1993–1994)",0,9999
4005,Sammy Cox," footballer (Rangers, national team)",0,9999
4006,Tyler Drumheller, CIA agent,0,9999
4007,Piet Fransen," footballer (FC Groningen, national team)",0,9999
4008,Phyllis Grosskurth, biographer,0,9999
4009,Mahmoud Guinia, Gnawa musician,0,9999
4010,Stephen Huss, musician (Psyche),0,9999
4011,Ken Jones, author and Buddhist activist,0,9999
4012,Ken Lewis, singer and songwriter (Can't You Hear My Heartbeat),0,9999
4013,Robert Lukens, historian and collection manager (United States Capitol Visitor Center) President of the Chester County Historical Society (since 2011),0,9999
4014,Natalia Molchanova, free diver,0,9999
4015,J. Durward Morsch, composer,0,9999
4016,Jacques Navadic, journalist and broadcasting editor,0,9999
4017,Adolphe Nshimirimana," general, Army chief of staff, rocket attack",0,9999
4018,June Schwarcz, enamel artist,0,9999
4019,Jack Spring, baseball player (Los Angeles Angels),0,9999
4020,Içami Tiba, psychiatrist and writer,0,9999
4021,Hiroyuki Agawa, writer,0,9999
4022,Jean Aicardi, neurologist,0,9999
4023,Salvatore Cassisa," Roman Catholic prelate, Archbishop of Monreale (1978–1997)",0,9999
4024,Robert Conquest, historian (The Great Terror),0,9999
4025,Francois Drummer, cricketer,0,9999
4026,Mel Farr, football player (Detroit Lions),0,9999
4027,Coleen Gray," actress (Nightmare Alley, Kiss of Death, The Killing)",0,9999
4028,Chris Hyndman, TV personality (Steven and Chris),0,9999
4029,Frank Kerns, college basketball coach (Georgia Southern),0,9999
4030,Carol Brown Janeway, editor and translator,0,9999
4031,Margot Loyola, folk singer and musician,0,9999
4032,Cynthia Macdonald, poet,0,9999
4033,Lynn Manning, poet playwright and actor (Seinfeld 8 Simple Rules),0,9999
4034,Kevin O'Leary, judge,0,9999
4035,Johanna Quandt, businesswoman and billionaire,0,9999
4036,Giovanni Riggi," mobster, inspiration for The Sopranos",0,9999
4037,Arnold Scaasi, fashion designer,0,9999
4038,Alf Schwarz, sociologist,0,9999
4039,Ambros Seelos, musician and conductor,0,9999
4040,Takashi Amano, aquarist and photographer,0,9999
4041,Ken Barnes, writer and record producer,0,9999
4042,Arthur Dorward, rugby union player,0,9999
4043,Theo van Els, linguist,0,9999
4044,Yosef Goldman, book dealer and author,0,9999
4045,Irving Harper, industrial designer,0,9999
4046,Achim Hill," rower, two-time Olympic silver medalist (1960, 1964)",0,9999
4047,Elsie Hillman, politician and philanthropist,0,9999
4048,Les Munro," pilot, last surviving pilot of Operation Chastise",0,9999
4049,Gerd Natschinski, composer,0,9999
4050,Sam Odaka," diplomat and politician, Foreign Minister (1964–1971)",0,9999
4051,Calle Örnemark, sculptor,0,9999
4052,John Rudometkin," basketball player (New York Knicks, San Francisco Warriors)",0,9999
4053,Siegfried Schnabl, psychotherapist,0,9999
4054,Billy Sherrill," record producer (Tammy Wynette, George Jones, Charlie Rich)",0,9999
4055,Lela Swift," television director (Dark Shadows, Ryan's Hope)",0,9999
4056,Alfred C. Williams," politician, member of the Louisiana House of Representatives (since 2012)",0,9999
4057,Svetlana Boym, scholar and author,0,9999
4058,Simon Burrows," Anglican prelate, Bishop of Buckingham (1974–1994)",0,9999
4059,George Cole," actor (Minder, St Trinian's, Cleopatra)",0,9999
4060,Ana Hatherly, writer and artist,0,9999
4061,Mark Herdman," diplomat, Governor of the British Virgin Islands (1986–1991)",0,9999
4062,Joyce Ingalls, actress (Paradise Alley),0,9999
4063,Arthur Walter James," journalist, editor of the Times Educational Supplement (1952–1969)",0,9999
4064,Joseph Kainrad, judge and politician,0,9999
4065,Kiripi Katembo, photographer and documentary filmmaker,0,9999
4066,James Herbert Laycraft," lawyer and judge, Chief Justice of the Alberta Court of Appeal (1985–1991)",0,9999
4067,Raphy Leavitt, composer and orchestra leader,0,9999
4068,Antti Leppänen, ice hockey player,0,9999
4069,Tony Millington," footballer (Swansea City, Peterborough United, national team)",0,9999
4070,Nuri Ok," judge, Chief Prosecutor of the Court of Cassation (2003–2007)",0,9999
4071,Onell Soto," prelate, Bishop of the Diocese of Venezuela",0,9999
4072,Akira Tanno, photographer,0,9999
4073,"Johnny Tiger, Jr.", artist,0,9999
4074,Ellen Vogel," actress (The Knife, Zonder Ernst, Twin Sisters)",0,9999
4075,Herbert Wise," television, theatre and film director (I, Claudius, Breaking the Code)",0,9999
4076,Mircea Dobrescu," flyweight boxer, Olympic silver medalist (1956)",0,9999
4077,Bradley M. Glass, politician,0,9999
4078,Danny Hegan, footballer (Ipswich Town Wolves national team),0,9999
4079,Ray Hill, football player (Miami Dolphins),0,9999
4080,Ulla Lindkvist, orienteer,0,9999
4081,Geoff Mardon, speedway rider,0,9999
4082,"Frederick R. Payne, Jr.", brigadier general,0,9999
4083,Amado Pineda, meteorologist,0,9999
4084,Orna Porat, theater actress,0,9999
4085,Charl Van Den Berg, model Mr Gay World 2010,0,9999
4086,Sólveig Anspach, film director (Lulu femme nue),0,9999
4087,Trevor Barber," cricketer (Wellington, Central Districts, national team)",0,9999
4088,Manuel Contreras, general head of Dirección de Inteligencia Nacional convicted of crimes against humanity,0,9999
4089,Saud al-Dosari, television presenter (MBC),0,9999
